"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Wood and articles of wood; wood charcoal",944,"Particle Board",94410,"Wood Products",9,2976,2019
"Wood and articles of wood; wood charcoal",944,"Wood Fiberboard",94411,"Wood Products",9,38977,2019
"Wood and articles of wood; wood charcoal",944,"Plywood",94412,"Wood Products",9,8965165,2019
"Wood and articles of wood; wood charcoal",944,"Densified Wood",94413,"Wood Products",9,8835,2019
"Wood and articles of wood; wood charcoal",944,"Wood Frames",94414,"Wood Products",9,3952,2019
"Wood and articles of wood; wood charcoal",944,"Wood Crates",94415,"Wood Products",9,18743,2019
"Wood and articles of wood; wood charcoal",944,"Wooden Tool Handles",94417,"Wood Products",9,229,2019
"Wood and articles of wood; wood charcoal",944,"Wood Carpentry",94418,"Wood Products",9,79541,2019
"Wood and articles of wood; wood charcoal",944,"Wood Kitchenware",94419,"Wood Products",9,4379,2019
"Wood and articles of wood; wood charcoal",944,"Wood Ornaments",94420,"Wood Products",9,340757,2019
"Wood and articles of wood; wood charcoal",944,"Other Wood Articles",94421,"Wood Products",9,209455,2019
"Cork and articles of cork",945,"Debacked Cork",94502,"Wood Products",9,24074,2019
"Cork and articles of cork",945,"Agglomerated Cork",94504,"Wood Products",9,132,2019
"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",946,"Plaiting Products",94601,"Wood Products",9,16741,2019
"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",946,"Basketwork",94602,"Wood Products",9,342028,2019
"Pulp of wood or other fibrous cellulosic material; waste and scrap of paper or paperboard",1047,"Mechanical Wood Pulp",104701,"Paper Goods",10,57.00000000000001,2019
"Pulp of wood or other fibrous cellulosic material; waste and scrap of paper or paperboard",1047,"Recovered Paper",104707,"Paper Goods",10,252643,2019
"Paper and paperboard; articles of paper pulp, of paper or paperboard",1048,"Newsprint",104801,"Paper Goods",10,9683,2019
"Paper and paperboard; articles of paper pulp, of paper or paperboard",1048,"Uncoated Paper",104802,"Paper Goods",10,35791,2019
"Paper and paperboard; articles of paper pulp, of paper or paperboard",1048,"Facial Tissue",104803,"Paper Goods",10,815460.0000000001,2019
"Paper and paperboard; articles of paper pulp, of paper or paperboard",1048,"Uncoated Kraft Paper",104804,"Paper Goods",10,29363198,2019
